BẢNG CHI TIẾT NHẬP- XUẤT - TỒN HÀNG HOÁ,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14
,,,,,,,,,,,CẬP NHẬT,2022-10-14 00:00:00,,
,,,,GHI CHÚ ĐẶC BIỆT,,,HÀNG ĐÃ NHẬP/XUẤT HẾT BILL,HÀNG NHẬP/XUẤT CHƯA XONG BILL,,,,,,
STT,"NGÀY
/ THÁNG","SỐ TỜ KHAI
( SỐ BILL)",TÊN KH,TÊN HÀNG,ĐVT,SỐ LƯỢNG YÊU CẦU NHẬP,"TỒN 
KỲ ĐẦU","NHẬP
 TRONG KỲ",,"XUẤT 
TRONG KỲ",,"TỒN 
CUỐI",GHI CHÚ,"TỒN 
CUỐI KỲ"
,,,,,,(GROSS),(GROSS),NỘI BỘ,VÀO KHO,NỘI BỘ,RA KHO,(GROSS),,(GROSS)
2,31.07.21,104170157231 (1KT141059),BBN,HẠT ĐIỀU BAO,KG,,194540,,,,,194540,7 CONT,194540
3,02.08.21,104170885711 (CTO0123311),BBN,HẠT ĐIỀU BAO,KG,,300260,,,,,300260,18 CONT,300260
4,05.08.21,104173217411 (COSU6296964440),VP,HẠT ĐIỀU BAO,KG,,414090,,,,,414090,16 CONT,414090
5,08.08.21,104188842111 (AEV0168124C),,HẠT ĐIỀU BAO,KG,,76540,,,,,76540,3 CONT,76540
6,08.08.21,104189478151 (AEV0167894C),VP,HẠT ĐIỀU BAO,KG,,100990,,,,98120,2870,4 CONT,100990
7,15.08.21,104200419631 (TMA0124738B),OB,HẠT ĐIỀU BAO,KG,,140220,,,,,140220,5 CONT,140220
8,17.08.21,104187969801(ONEYABJB00105906),OB,HẠT ĐIỀU BAO,KG,,26070,,,,,26070,1 CONT,26070
9,01.09.21,104226481001(MEDUCT0366),BBN,HẠT ĐIỀU BAO,KG,,207620,,,,,207620,12 CONT,207620
10,07.09.21,104230298911(AEV0168285A),CV,HẠT ĐIỀU BAO,KG,,331740,,,,,331740,14 CONT,331740
11,11.09.21,104239649361(AEV0168470L),CV,HẠT ĐIỀU BAO,KG,,470440,,,,,470440,19 CONT,470440
12,14.09.21,104242592861(AEV0168477D),CV,HẠT ĐIỀU BAO,KG,,329900,,,,,329900,14 CONT,329900
13,15.09.21,104242733451(AEV0168477C),CV,HẠT ĐIỀU BAO,KG,,383350,,,,,383350,16 CONT,383350
