BẢNG CHI TIẾT NHẬP- XUẤT - TỒN HÀNG HOÁ,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14
,,,,,,,,,,,CẬP NHẬT,2022-10-14 00:00:00,,
,,,,GHI CHÚ ĐẶC BIỆT,,,HÀNG ĐÃ NHẬP/XUẤT HẾT BILL,HÀNG NHẬP/XUẤT CHƯA XONG BILL,,,,,,
STT,"NGÀY
/ THÁNG","SỐ TỜ KHAI
( SỐ BILL)",TÊN KH,TÊN HÀNG,ĐVT,SỐ LƯỢNG YÊU CẦU NHẬP,"TỒN 
KỲ ĐẦU","NHẬP
 TRONG KỲ",,"XUẤT 
TRONG KỲ",,"TỒN 
CUỐI",GHI CHÚ,"TỒN 
CUỐI KỲ"
,,,,,,(GROSS),(GROSS),NỘI BỘ,VÀO KHO,NỘI BỘ,RA KHO,(GROSS),,(GROSS)
1,01/08/2021,104168571252 (OOLU4051899011),OB,HẠT ĐIỀU BAO,KG,,733290,,,,105640,627650,27 CONT,733290
2,03.08.21,104178969201(MEDUTM141650),OB,HẠT ĐIỀU BAO,KG,,184610,,,,,184610,,184610
3,14.08.21,104198561241(MEDUCT040242),BBN,HẠT ĐIỀU BAO,KG,,208740,,,,,208740,,208740
4,15.08.21,104200231331(TMA0124738C),OB,HẠT ĐIỀU BAO,KG,,287780,,,,,287780,,287780
5,16.08.21,104200479461(TMA0124738A),OB,HẠT ĐIỀU BAO,KG,,82940,,,,,82940,3 CONT,82940
6,16.09.21,104242789341(AEV0168470F),CV,HẠT ĐIỀU BAO,KG,,72820,,,,,72820,,72820
7,18.09.21,104248867441(HLCUDK1210601770),BBN,HẠT ĐIỀU BAO,KG,,1131510,,,,1099840,31670,41 CONT,1131510
8,24.09.21,10455619751 (AEV0168126B),CV,HẠT ĐIỀU BAO,KG,,443280,,,,,443280,18 CONT,443280
9,24.09.21,104255039561 (AEV0168236B),CV,HẠT ĐIỀU BAO,KG,,509100,,,,,509100,20 CONT,509100
10,25.09.21,104257285751(AEV0168035J),CV,HẠT ĐIỀU BAO,KG,,49470,,,,,49470,2 CONT,49470
11,26.09.21,104256047601(AEV0168035G),CV,HẠT ĐIỀU BAO,KG,,178290,,,,173860,4430,7 CONT,178290
12,27.09.21,104262474151(AEV0169005B),CV,HẠT ĐIỀU BAO,KG,,432900,,,,,432900,17 CONT,432900
