,BẢNG CHI TIẾT NHẬP- XUẤT - TỒN HÀNG HOÁ,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15
0,,,,,,,,,,,,,CẬP NHẬT,,2022-10-14 00:00:00,
1,,,,,GHI CHÚ ĐẶC BIỆT,,,HÀNG ĐÃ NHẬP HẾT BILL,HÀNG NHẬP CHƯA XONG BILL,,,,,,,
2,STT,"NGÀY 
/ THÁNG","SỐ TỜ KHAI
( SỐ BILL)",TÊN KH,TÊN HÀNG,ĐVT,SỐ LƯỢNG YÊU CẦU NHẬP,"TỒN 
KỲ ĐẦU","NHẬP
 TRONG KỲ",,"XUẤT 
TRONG KỲ",,"TỒN CUỐI
",,GHI CHÚ,"TỒN 
CUỐI KỲ"
3,,,,,,,(GROSS),(GROSS),NỘI BỘ,VÀO KHO,NỘI BỘ,RA KHO,(GROSS),(NET),,(GROSS)
4,1,15.7.21,104147491341 (211000974),OB,HẠT ĐIỀU BAO ,KG,,401470,,,,,401470,,15 CONT,401470
5,2,17.07.21,104146220402(211378879),OB,HẠT ĐIỀU BAO ,KG,,26780,,,,,26780,,1 CONT,26780
6,3,06.08.2021,104188393961(ONEYTEMB00568903),OB,HẠT ĐIỀU BAO ,KG,,424970,,,,268510,156460,,16 CONT,156460
7,4,8.8.21,104167439831 (21066764A),CV,HẠT ĐIỀU BAO ,KG,,111350,,,,,111350,,4 CONT,111350
8,5,10.08.2021,104190457341(AFIC/SIN/204424),BBN,HẠT ĐIỀU BAO ,KG,,154990,,,,,154990,,6 CONT,154990
9,6,10.8.21,104194596001 (AEV0169068),CV,HẠT ĐIỀU BAO ,KG,,26710,,,,,26710,,1 CONT,26710
10,7,11.08.21,104194796421(AEV0168296),CV,HẠT ĐIỀU BAO ,KG,,50160,,,,,50160,,2 CONT,50160
11,8,11.08.21,104190451741(AEV0169067B),OB,HẠT ĐIỀU BAO ,KG,,51960,,,,,51960,,2 CONT,51960
12,9,11.08.21,104193930301(AEV0168124D),CV,HẠT ĐIỀU BAO ,KG,,129890,,,,,129890,,5 CONT,129890
13,10,11.08.21,104194476411 (AEV0169067A),CV,HẠT ĐIỀU BAO ,KG,,77100,,,,,77100,,3 CONT,77100
14,11,12.08.21,104193878831(211420738),BBN,HẠT ĐIỀU BAO ,KG,,26060,,,,,26060,,1 CONT,26060
15,12,12.08.21,104193875221(211420731),BBN,HẠT ĐIỀU BAO ,KG,,26120,,,,,26120,,1 CONT,26120
16,13,13.08.21,104188736521(210842452),VP,HẠT ĐIỀU BAO ,KG,,22800,,,,,22800,,1 CONT,22800
17,14,13.8.21,104198595761 (ONEYABJB00318800),BBN,HẠT ĐIỀU BAO ,KG,,447460,,,,,447460,,27 CONT,447460
18,15,14.08.21,104200769301(AFIC/SIN/204499),BBN,HẠT ĐIỀU BAO ,KG,,438460,,,,,438460,,17 CONT,438460
19,16,17.08.21,104187647211(ONEYABJB00105902),VP,HẠT ĐIỀU BAO ,KG,,51950,,,,25400,26550,,2 CONT,26550
20,17,24.08.21,104205470351(ONEYTEMB00773700),OB,HẠT ĐIỀU BAO ,KG,,272210,,,,,272210,,10 CONT,272210
21,18,14.09.21,104242463621(AEV0168470K),CV,HẠT ĐIỀU BAO ,KG,,99650,,,,,99650,,4 CONT,99650
22,19,14.09.21,104242258411(AEV0168121C),CV,HẠT ĐIỀU BAO ,KG,,132190,,,,,132190,,5 CONT,132190
23,20,15.09.21,104242407841(AEV0169855),CV,HẠT ĐIỀU BAO ,KG,,25630,,,,,25630,,1 CONT,25630
24,21,16.09.21,104234009951(AEV0169746),CV,HẠT ĐIỀU BAO ,KG,,27350,,,,,27350,,1 CONT,27350
25,22,16.09.21,104242863432(AEV0165966E),CV,HẠT ĐIỀU BAO ,KG,,25470,,,,,25470,,1 CONT,25470
26,23,16.09.21,104251688001(AFIC/SIN/204520),BBN,HẠT ĐIỀU BAO ,KG,,27470,,,,,27470,,1 CONT,27470
27,24,05.11.21,104330594541(MEDUCN022370),BBN,HẠT ĐIỀU BAO ,KG,,46820,,,,,46820,,2 CONT,46820
28,25,06.11.21,104335952711(211894379),BIVC,HẠT ĐIỀU BAO ,KG,,49820,,,,,49820,,2 CONT,49820
29,26,30.11.21,104380570821(AEV0171133),VP,HẠT ĐIỀU BAO ,KG,,26570,,,,,26570,,1 CONT,26570
30,27,24.12.21,104431129611(AEV0171495C),CV,HẠT ĐIỀU BAO ,KG,248910,253050,,,,,253050,,10 CONT,253050
31,28,15.01.22,104467453861 (GREENTECB4),VP,HẠT ĐIỀU BAO ,KG,519910,519320,,,,511720,7600,,GREENTEC,7600
32,31,16.10.21,104292935351(20860316A),VP,HẠT ĐIỀU BAO,KG,,25590,,,,,25590,1 CONT,25590,
33,32,14.10.21,104291727851(211144376),CV,HẠT ĐIỀU BAO,KG,,274110,,,,,274110,10 CONT 3.2-1.3,274110,
34,33,22.10.21,104306231301(AEV0170079D),CV,HẠT ĐIỀU BAO,KG,,105190,,,,,105190,4 CONT,105190,
35,34,15.10.21,104296142161(AEV0170084A),BIVC,HẠT ĐIỀU BAO,KG,,157040,,,,,157040,6 CONT 3.2-1.3,157040,
36,35,21.10.21,104306744251(AEV0170069A),BIVC,HẠT ĐIỀU BAO,KG,,262940,,,,,262940,10 CONT 3.2.1.3,262940,
37,36,11.07.22,104830125412(PAROSEB4),OB,HẠT ĐIỀU BAO,KG,496640,495710,,,,,495710,,PACIFIC ROSE,
38,38,29.07.22,104867793811(ONEYTEMC01234802),OB,HẠT ĐIỀU BAO,KG,80725,79990,,,,,79990,,3 CONT,
39,40,04.08.22,104883770131(COSU6338416450),OB,HẠT ĐIỀU BAO,KG,274520,275380,,,,,275380,,10 CONT,
40,41,26.08.22,104929584911(218247491),VP,HẠT ĐIỀU BAO,KG,206830,208090,,,,,208090,,8 CONT,
41,42,26.08.22,104929658961(217902353),VP,HẠT ĐIỀU BAO,KG,224550,225960,,,,,225960,,9 CONT,
